year,month,Type,Households,Consumption
2010,1,Metered,257760,4569785
2010,1,Unmetered,51537,
2010,2,Metered,258199,4249140
2010,2,Unmetered,51204,
2010,3,Metered,258826,4000815
2010,3,Unmetered,50865,
2010,4,Metered,259745,4135806
2010,4,Unmetered,50491,
2010,5,Metered,260599,4648947
2010,5,Unmetered,50053,
2010,6,Metered,261689,4911639
2010,6,Unmetered,49430,
2010,7,Metered,263221,5151319
2010,7,Unmetered,48483,
2010,8,Metered,264782,5568566
2010,8,Unmetered,47567,
2010,9,Metered,266250,5181375
2010,9,Unmetered,46408,
2010,10,Metered,267977,4494148
2010,10,Unmetered,45367,
2010,11,Metered,269683,4306312
2010,11,Unmetered,44224,
2010,12,Metered,271389,4672204
2010,12,Unmetered,43062,
2011,1,Metered,273685,4481110
2011,1,Unmetered,41595,
2011,2,Metered,275082,4647921
2011,2,Unmetered,40471,
2011,3,Metered,276252,4162598
2011,3,Unmetered,39560,
2011,4,Metered,277918,4527284
2011,4,Unmetered,38472,
2011,5,Metered,279259,4499513
2011,5,Unmetered,37568,
2011,6,Metered,280930,4782979
2011,6,Unmetered,36232,
2011,7,Metered,282988,5270169
2011,7,Unmetered,34827,
2011,8,Metered,284589,6038858
2011,8,Unmetered,33436,
2011,9,Metered,286136,5843406
2011,9,Unmetered,32335,
2011,10,Metered,287573,5633385
2011,10,Unmetered,31587,
2011,11,Metered,288955,4731646
2011,11,Unmetered,30580,
2011,12,Metered,290666,4707090
2011,12,Unmetered,29472,
2012,1,Metered,292112,4797761
2012,1,Unmetered,28674,
2012,2,Metered,293618,4756702
2012,2,Unmetered,27571,
2012,3,Metered,294787,4467776
2012,3,Unmetered,26831,
2012,4,Metered,296208,4561406
2012,4,Unmetered,25831,
2012,5,Metered,297496,4902761
2012,5,Unmetered,24924,
2012,6,Metered,298877,5547309
2012,6,Unmetered,24138,
2012,7,Metered,299900,5438532
2012,7,Unmetered,23557,
2012,8,Metered,300852,6357765
2012,8,Unmetered,22881,
2012,9,Metered,302204,6922925
2012,9,Unmetered,22241,
2012,10,Metered,303462,6065305
2012,10,Unmetered,21445,
2012,11,Metered,304907,5366032
2012,11,Unmetered,20686,
2012,12,Metered,306387,4988981
2012,12,Unmetered,19970,
2013,1,Metered,307223,5116290
2013,1,Unmetered,19376,
2013,2,Metered,308506,5202008
2013,2,Unmetered,18590,
2013,3,Metered,309092,4763326
2013,3,Unmetered,17831,
2013,4,Metered,310105,4743927
2013,4,Unmetered,16904,
2013,5,Metered,311624,4967198
2013,5,Unmetered,15849,
2013,6,Metered,313024,6394900
2013,6,Unmetered,15194,
2013,7,Metered,313960,5718998
2013,7,Unmetered,14621,
2013,8,Metered,315477,6099311
2013,8,Unmetered,13665,
2013,9,Metered,316932,7005643
2013,9,Unmetered,12939,
2013,10,Metered,318110,6200724
2013,10,Unmetered,12214,
2013,11,Metered,319007,5349061
2013,11,Unmetered,11586,
2013,12,Metered,319848,5058962
2013,12,Unmetered,11356,
2014,1,Metered,320601,5257434
2014,1,Unmetered,11229,
2014,2,Metered,321126,5301106
2014,2,Unmetered,11130,
2014,3,Metered,321563,5064669
2014,3,Unmetered,11055,
2014,4,Metered,322031,4759856
2014,4,Unmetered,10947,
2014,5,Metered,322581,5071461
2014,5,Unmetered,10860,
2014,6,Metered,323381,5542560
2014,6,Unmetered,10712,
2014,7,Metered,324185,6143705
2014,7,Unmetered,10391,
2014,8,Metered,323462,7515361
2014,8,Unmetered,10054,
2014,9,Metered,324512,7104164
2014,9,Unmetered,9906,
2014,10,Metered,325577,5487184
2014,10,Unmetered,9810,
2014,11,Metered,326406,5340342
2014,11,Unmetered,9753,
2014,12,Metered,327306,5112853
2014,12,Unmetered,9709,
2015,1,Metered,327778,5139360
2015,1,Unmetered,9606,
2015,2,Metered,329201,5264170
2015,2,Unmetered,9456,
2015,3,Metered,329676,4880222
2015,3,Unmetered,9399,
2015,4,Metered,330268,5015452
2015,4,Unmetered,9303,
2015,5,Metered,331179,5379916
2015,5,Unmetered,9218,
2015,6,Metered,331661,6008844
2015,6,Unmetered,9165,
2015,7,Metered,332447,7272570
2015,7,Unmetered,9149,
2015,8,Metered,333280,7461506
2015,8,Unmetered,9066,
2015,9,Metered,333562,6624648
2015,9,Unmetered,9036,
2015,10,Metered,334061,5700702
2015,10,Unmetered,8987,
2015,11,Metered,334795,5357017
2015,11,Unmetered,8943,
2015,12,Metered,335338,5085033
2015,12,Unmetered,8897,
2016,1,Metered,335538,5156334
2016,1,Unmetered,8861,
2016,2,Metered,336249,5314470
2016,2,Unmetered,8821,
2016,3,Metered,336644,5183890
2016,3,Unmetered,8773,
2016,4,Metered,337067,4901737
2016,4,Unmetered,8732,
2016,5,Metered,337191,5830216
2016,5,Unmetered,8657,
2016,6,Metered,337786,7065116
2016,6,Unmetered,8593,
2016,7,Metered,337911,7209351.87
2016,7,Unmetered,8573,
2016,8,Metered,338203,6188742
2016,8,Unmetered,8514,
